"the_geom","cartodb_id","name","benchmark_price"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""35"",""name"":""Summit View"",""benchmark_price"":""1216700""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.82117248,49.28986622],[-122.82106519,49.29366582],[-122.81578124,49.29365183],[-122.81584561,49.29111879],[-122.81606019,49.29084939],[-122.8167522,49.29078641],[-122.81722426,49.29078991],[-122.81789482,49.29076892],[-122.81859756,49.29064646],[-122.81932175,49.29049251],[-122.8196758,49.29035956],[-122.81989038,49.29025459],[-122.82026589,49.29011464],[-122.82081842,49.29002367],[-122.82117248,49.28986622]]]]}}","35","Summit View","1216700"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""40"",""name"":""Chineside"",""benchmark_price"":""1137000""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.83812404,49.26334832],[-122.8376627,49.26405897],[-122.83749104,49.26863064],[-122.83631086,49.26861664],[-122.83623576,49.27313189],[-122.83148289,49.27315639],[-122.82377422,49.27322289],[-122.82310903,49.27321939],[-122.82342017,49.26420249],[-122.82471836,49.26319079],[-122.83812404,49.26334832]]]]}}","40","Chineside","1137000"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""42"",""name"":""Harbour Chines"",""benchmark_price"":""1243700""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.868433,49.2705453],[-122.85257041,49.2706573],[-122.85273135,49.26346385],[-122.86873877,49.26356187],[-122.868433,49.2705453]]]]}}","42","Harbour Chines","1243700"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""41"",""name"":""Harbour Place"",""benchmark_price"":""1231300""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.85273135,49.26346035],[-122.85265088,49.26763653],[-122.85256505,49.2706538],[-122.84455061,49.2706258],[-122.84450769,49.27304789],[-122.83623576,49.27304439],[-122.83631086,49.26861664],[-122.83749104,49.26863064],[-122.8376627,49.26405897],[-122.8381294,49.26334832],[-122.85273135,49.26346035]]]]}}","41","Harbour Place","1231300"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""14"",""name"":""Hockaday"",""benchmark_price"":""1277200""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.7811271,49.29283315],[-122.78075695,49.29286814],[-122.78050482,49.29290313],[-122.7800864,49.2929766],[-122.77980745,49.29307806],[-122.77951777,49.2932145],[-122.77856827,49.29366932],[-122.77739346,49.29425008],[-122.7768141,49.29453346],[-122.77657807,49.29460693],[-122.77643859,49.2946769],[-122.77621865,49.29473638],[-122.77596116,49.29479935],[-122.77549446,49.29489381],[-122.77508676,49.29494279],[-122.77481854,49.29497078],[-122.77472734,49.29546756],[-122.77466834,49.29568796],[-122.77466297,49.29609378],[-122.77436256,49.2962687],[-122.77377248,49.29644012],[-122.77349353,49.29645061],[-122.77290344,49.29633167],[-122.77163744,49.29621622],[-122.77086496,49.29620223],[-122.7703017,49.29628269],[-122.76984572,49.29655207],[-122.76963651,49.29702784],[-122.76928246,49.29777298],[-122.76885867,49.29867553],[-122.76865482,49.29903235],[-122.76856363,49.29947662],[-122.7687192,49.30034066],[-122.76893914,49.30071146],[-122.76913762,49.30106826],[-122.76929319,49.30155449],[-122.7693361,49.30177836],[-122.76936829,49.30194976],[-122.76938975,49.30226982],[-122.76936829,49.30236252],[-122.7691859,49.30283824],[-122.76912689,49.3029834],[-122.76906788,49.30312857],[-122.76905715,49.30329997],[-122.76910007,49.30342239],[-122.76919127,49.30359729],[-122.76932001,49.30368123],[-122.76955068,49.3037442],[-122.7700603,49.30387711],[-122.77053237,49.30395756],[-122.77103662,49.30403102],[-122.77139604,49.30409398],[-122.77191103,49.3042304],[-122.77224898,49.30443677],[-122.77258158,49.30479005],[-122.77276933,49.30512583],[-122.77278543,49.30552458],[-122.77247429,49.30651093],[-122.77225435,49.30690266],[-122.77193248,49.30735036],[-122.77159452,49.30776308],[-122.77129948,49.30818628],[-122.77126193,49.30847658],[-122.77126193,49.30877736],[-122.77139068,49.30910613],[-122.77181447,49.3098266],[-122.77173936,49.3101029],[-122.77194858,49.31060652],[-122.77193785,49.31101222],[-122.77189493,49.31141791],[-122.77180374,49.31166272],[-122.77154624,49.31203693],[-122.77129412,49.3123307],[-122.771101,49.31240764],[-122.77029634,49.31307561],[-122.76904106,49.31399886],[-122.768628,49.31461435],[-122.76830614,49.31495357],[-122.76792526,49.315034],[-122.76753902,49.31543966],[-122.76746929,49.31564249],[-122.76753366,49.31592575],[-122.76794672,49.3166741],[-122.76805937,49.31684195],[-122.76829004,49.31727906],[-122.76895523,49.3182477],[-122.76978672,49.31916036],[-122.77013004,49.31985621],[-122.77058601,49.32051709],[-122.77066648,49.32080032],[-122.77070403,49.3213423],[-122.77069867,49.32167797],[-122.7706182,49.32210455],[-122.77051091,49.32233183],[-122.77025878,49.32265351],[-122.77024269,49.32279687],[-122.76970088,49.32373392],[-122.76964724,49.32392972],[-122.76962042,49.32408357],[-122.76959896,49.32423741],[-122.76971698,49.32458355],[-122.77014613,49.32495417],[-122.77026951,49.32505556],[-122.77034998,49.32508353],[-122.770468,49.32512898],[-122.77098298,49.32522688],[-122.77118146,49.32542268],[-122.77393341,49.32541568],[-122.77556419,49.3254017],[-122.77572513,49.30393658],[-122.77808547,49.30048758],[-122.77813911,49.29895539],[-122.77831614,49.29866504],[-122.77848244,49.29831871],[-122.77859509,49.29804585],[-122.77873456,49.29775899],[-122.7791369,49.29694038],[-122.77951241,49.29624071],[-122.779845,49.29554802],[-122.78039217,49.2944425],[-122.78039217,49.2944425],[-122.78046191,49.29427807],[-122.78064966,49.29385125],[-122.78084815,49.29341742],[-122.7811271,49.29283315]]]]}}","14","Hockaday","1277200"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""17"",""name"":""New Horizons"",""benchmark_price"":""830300""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.77481318,49.29496378],[-122.77480781,49.29480984],[-122.77479172,49.2946769],[-122.77472734,49.29441801],[-122.77446985,49.2942116],[-122.77426064,49.29408565],[-122.77394414,49.29394221],[-122.77381539,49.29388273],[-122.77346671,49.29356436],[-122.77289271,49.29287864],[-122.77252793,49.29239932],[-122.77254939,49.2924483],[-122.77222216,49.2919305],[-122.77219534,49.29173807],[-122.77220607,49.29139519],[-122.77238309,49.29015313],[-122.77235627,49.29006216],[-122.77234018,49.28988372],[-122.77228117,49.28974026],[-122.77222753,49.28957582],[-122.77199149,49.28896001],[-122.77187884,49.28863811],[-122.77177155,49.28830571],[-122.77156234,49.28815176],[-122.77120292,49.28793132],[-122.77105272,49.28782985],[-122.77103662,49.28754993],[-122.77125657,49.28711955],[-122.77198613,49.28660869],[-122.77242064,49.28638824],[-122.77266204,49.28623428],[-122.77295709,49.28600684],[-122.77352571,49.2853385],[-122.77430356,49.28442521],[-122.77502775,49.28370087],[-122.77534425,49.28334744],[-122.77591288,49.28268256],[-122.77641177,49.28205967],[-122.77649224,49.28193369],[-122.77669072,49.2812618],[-122.77662635,49.28077538],[-122.77652979,49.28015596],[-122.77643859,49.27962403],[-122.77638495,49.27927407],[-122.77637422,49.27893461],[-122.77636349,49.27839216],[-122.78398097,49.27846916],[-122.78571904,49.27847966],[-122.78653443,49.27847616],[-122.78733909,49.27847266],[-122.7882725,49.27848666],[-122.78806865,49.27887861],[-122.78747857,49.28006847],[-122.78685093,49.2812898],[-122.78685093,49.2812898],[-122.78618038,49.28264757],[-122.78567612,49.28370087],[-122.78506458,49.28496059],[-122.78467298,49.2857619],[-122.78398633,49.28709506],[-122.78356254,49.28789633],[-122.78300464,49.28894252],[-122.78242528,49.29014263],[-122.78182447,49.2913812],[-122.78142214,49.29228387],[-122.78113246,49.29282966],[-122.78079987,49.29286464],[-122.78053164,49.29289963],[-122.78010249,49.2929696],[-122.77978599,49.29308506],[-122.77915835,49.29339993],[-122.77842879,49.2937323],[-122.77798891,49.2939597],[-122.77759194,49.29416262],[-122.77717888,49.29435854],[-122.77693748,49.29448098],[-122.7768141,49.29454046],[-122.77656198,49.29461393],[-122.77641714,49.2946839],[-122.77603626,49.29478885],[-122.77554274,49.29487981],[-122.77508676,49.29493579],[-122.77481318,49.29496378]]]]}}","17","New Horizons","830300"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""19"",""name"":""Westwood Plateau"",""benchmark_price"":""1386100""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.77775288,49.32537373],[-122.77555883,49.3253982],[-122.77568221,49.30846259],[-122.77571976,49.30394357],[-122.77809083,49.30048758],[-122.77814448,49.29894839],[-122.77847171,49.2983467],[-122.7788043,49.29760506],[-122.77935147,49.29655207],[-122.77993619,49.29535561],[-122.78039217,49.2944425],[-122.78046191,49.29428507],[-122.78060675,49.2939562],[-122.78071404,49.29374279],[-122.78084815,49.29344191],[-122.7811271,49.29284015],[-122.78157234,49.29284715],[-122.7828598,49.29285065],[-122.78388441,49.29285065],[-122.78458178,49.29284715],[-122.785483,49.29286114],[-122.78980672,49.2911048],[-122.78980672,49.29150016],[-122.78990328,49.29187802],[-122.79013395,49.29230136],[-122.79029489,49.29256376],[-122.790429,49.29283665],[-122.79047728,49.29313404],[-122.790488,49.29329147],[-122.79043972,49.29350139],[-122.79033244,49.2937113],[-122.79012322,49.29399819],[-122.78995693,49.2941976],[-122.79163599,49.29490081],[-122.7920115,49.29506873],[-122.79359937,49.29570195],[-122.79426455,49.29598533],[-122.79511213,49.29633517],[-122.79553592,49.2964786],[-122.79593825,49.29657655],[-122.79626012,49.29664302],[-122.7964747,49.29667101],[-122.79676974,49.29670599],[-122.79704869,49.29671999],[-122.79736519,49.29672698],[-122.79766023,49.29671999],[-122.7982235,49.296685],[-122.79850781,49.29665352],[-122.79901206,49.29656256],[-122.79919982,49.29651008],[-122.79953241,49.29641213],[-122.79967189,49.29637715],[-122.799806,49.29630718],[-122.80002594,49.29621622],[-122.80044436,49.2960413],[-122.80104518,49.29579641],[-122.80176938,49.29552353],[-122.802338,49.29529613],[-122.80261695,49.29517719],[-122.80292809,49.29508623],[-122.80328214,49.29498477],[-122.80370057,49.29487632],[-122.80390978,49.29480984],[-122.80415118,49.29473987],[-122.80468225,49.29461743],[-122.80525625,49.29450198],[-122.80622721,49.29434104],[-122.80644178,49.29432005],[-122.80653298,49.29430956],[-122.80661345,49.29430606],[-122.80679047,49.29428857],[-122.8069675,49.29425708],[-122.80768096,49.29419061],[-122.80893624,49.29413813],[-122.81066895,49.29412413],[-122.81169891,49.2941976],[-122.81276643,49.29434104],[-122.81323314,49.29440402],[-122.81418264,49.29459993],[-122.81470835,49.29472588],[-122.81525016,49.29483433],[-122.81597435,49.29504774],[-122.81665564,49.29522966],[-122.81826496,49.29577192],[-122.81949341,49.29617424],[-122.82044291,49.29651358],[-122.82081842,49.29665002],[-122.82164991,49.2969054],[-122.82195032,49.29698236],[-122.82237947,49.29705233],[-122.82264769,49.29706632],[-122.82283545,49.29706283],[-122.82310367,49.29707332],[-122.82319486,49.29706632],[-122.82330215,49.29706982],[-122.82316804,49.30101929],[-122.82317877,49.3011802],[-122.82317877,49.30133411],[-122.82310367,49.32499612],[-122.77775288,49.32537373]]]]}}","19","Westwood Plateau","1386100"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""33"",""name"":""Scott Creek"",""benchmark_price"":""1251900""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.80579805,49.2849396],[-122.80667245,49.28548897],[-122.80731618,49.28542598],[-122.8075093,49.28543998],[-122.80790627,49.28537],[-122.80852318,49.28539799],[-122.80918837,49.28553796],[-122.8097409,49.2857584],[-122.81033635,49.28606633],[-122.81057775,49.28624128],[-122.81141996,49.28684662],[-122.80957997,49.28946035],[-122.80842662,49.29161911],[-122.80822814,49.29242731],[-122.80837297,49.29415912],[-122.80767024,49.29419061],[-122.80696213,49.29425708],[-122.80679584,49.29429206],[-122.80653834,49.29430956],[-122.80622721,49.29434454],[-122.80576587,49.29441801],[-122.80520797,49.29451247],[-122.8045696,49.29464891],[-122.8041029,49.29475737],[-122.80371666,49.29487981],[-122.80326605,49.29499526],[-122.8028959,49.29509322],[-122.80261695,49.29517369],[-122.8018713,49.29548505],[-122.8017962,49.29540459],[-122.80153334,49.29483084],[-122.8009969,49.29415912],[-122.80077696,49.29388973],[-122.80062675,49.29353288],[-122.80059993,49.29313404],[-122.80064285,49.29127973],[-122.80067503,49.29118527],[-122.80119002,49.2905345],[-122.80130804,49.29036305],[-122.80139923,49.29019161],[-122.80144215,49.28995719],[-122.80153871,49.28747645],[-122.80160308,49.28517054],[-122.80437648,49.28504807],[-122.80579805,49.2849396]]]]}}","33","Scott Creek","1251900"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""20"",""name"":""Canyon Springs"",""benchmark_price"":""1029900""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.78995156,49.2942011],[-122.79010713,49.29402618],[-122.79025197,49.29383725],[-122.79034853,49.29370081],[-122.79043972,49.29351189],[-122.790488,49.29328448],[-122.79048264,49.29313054],[-122.79042363,49.29284365],[-122.7903378,49.29264773],[-122.79023588,49.2924658],[-122.79010177,49.29225238],[-122.78990328,49.29186402],[-122.78982818,49.29161561],[-122.78979599,49.29150715],[-122.78980672,49.29098934],[-122.78981745,49.28990121],[-122.78983355,49.28978575],[-122.78984427,49.28968428],[-122.78997302,49.2893239],[-122.7901715,49.28891453],[-122.79045582,49.28840018],[-122.79164135,49.28626927],[-122.7918452,49.28589837],[-122.7920866,49.28546797],[-122.79226363,49.28514955],[-122.79236555,49.28496059],[-122.79242992,49.28484862],[-122.79295564,49.28488711],[-122.79379785,49.2849396],[-122.79458642,49.28499558],[-122.79528379,49.28503757],[-122.79612601,49.28509706],[-122.79721498,49.28517754],[-122.79808402,49.28524053],[-122.79883504,49.28525452],[-122.79916763,49.28524753],[-122.79964507,49.28523353],[-122.80012786,49.28522303],[-122.80075014,49.28520554],[-122.80150115,49.28517404],[-122.80150115,49.28517404],[-122.80160844,49.28517054],[-122.80159235,49.28540499],[-122.80157626,49.28585638],[-122.80156016,49.28624828],[-122.8015548,49.28664718],[-122.80154407,49.28711255],[-122.80153871,49.28749394],[-122.80151725,49.28807828],[-122.80147433,49.2889985],[-122.80144215,49.2899432],[-122.8014046,49.29018461],[-122.8013134,49.29035606],[-122.80120075,49.290524],[-122.8006804,49.29117827],[-122.80064821,49.29126224],[-122.80063748,49.29139519],[-122.80062139,49.29174507],[-122.80062139,49.29212642],[-122.80062139,49.2924623],[-122.80059457,49.29310255],[-122.80061066,49.29334045],[-122.80062675,49.29353638],[-122.80078232,49.29389323],[-122.80152261,49.29480984],[-122.80181766,49.29541158],[-122.80186594,49.29548155],[-122.8014046,49.29566347],[-122.801072,49.29578242],[-122.80077159,49.29591536],[-122.80051947,49.29600981],[-122.80029416,49.29610077],[-122.80013859,49.29617074],[-122.7999723,49.29624071],[-122.79969871,49.29636315],[-122.79937148,49.29645761],[-122.79904962,49.29655556],[-122.79880285,49.29659754],[-122.79850781,49.29665702],[-122.79803574,49.2967025],[-122.79782116,49.29671649],[-122.79747784,49.29672349],[-122.79721498,49.29673048],[-122.79695749,49.29671649],[-122.79665709,49.2966955],[-122.79636741,49.29665352],[-122.79595971,49.29658005],[-122.79567003,49.29652058],[-122.79538035,49.29642263],[-122.79511213,49.29633517],[-122.79450059,49.29608678],[-122.79377639,49.29577892],[-122.79304147,49.29548155],[-122.79252112,49.29527164],[-122.79157698,49.29488331],[-122.79093862,49.29460693],[-122.79029489,49.29434104],[-122.78995156,49.2942011]]]]}}","20","Canyon Springs","1029900"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""15"",""name"":""Park Ridge Estates"",""benchmark_price"":""1198000""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.761783,49.29294161],[-122.76178837,49.29316902],[-122.76160598,49.29584189],[-122.76161671,49.29598882],[-122.76198149,49.29619173],[-122.76231408,49.29637365],[-122.76280761,49.29645761],[-122.76389122,49.29703834],[-122.76419163,49.2973252],[-122.76484609,49.29797588],[-122.76506066,49.29843765],[-122.76509285,49.29905334],[-122.764889,49.29956407],[-122.76465297,49.29977396],[-122.76350498,49.30065549],[-122.76163816,49.30214215],[-122.76041508,49.30321602],[-122.76012003,49.30359029],[-122.76915908,49.30351683],[-122.76905179,49.30330696],[-122.76906252,49.30313906],[-122.76937366,49.3023905],[-122.76937366,49.30192877],[-122.7692771,49.30146703],[-122.76914835,49.30109624],[-122.7689445,49.30071146],[-122.7687192,49.30034066],[-122.76856899,49.29946612],[-122.76865482,49.29903935],[-122.76889086,49.29863355],[-122.76912689,49.29811581],[-122.7693522,49.29759807],[-122.76985645,49.29656256],[-122.76968479,49.2964786],[-122.76363373,49.293225],[-122.76336551,49.29306406],[-122.76317239,49.2929696],[-122.76268959,49.29293811],[-122.761783,49.29294161]]]]}}","15","Park Ridge Estates","1198000"
