"the_geom","cartodb_id","name","benchmark_price"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""13"",""name"":""Birchland Manor"",""benchmark_price"":""802000""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.75609136,49.264234],[-122.75477171,49.26465408],[-122.75414407,49.26470659],[-122.74989009,49.26521768],[-122.74848461,49.26539271],[-122.74664998,49.26578827],[-122.74475634,49.26625734],[-122.74403751,49.26669841],[-122.74361372,49.26695744],[-122.74309337,49.26730049],[-122.74266958,49.26758752],[-122.74134457,49.26846962],[-122.74080813,49.26899818],[-122.74026632,49.27026528],[-122.74018049,49.27042279],[-122.73978889,49.27119633],[-122.7397728,49.27122084],[-122.73975134,49.27126634],[-122.73990154,49.27126634],[-122.74345815,49.27124534],[-122.7470094,49.27124184],[-122.75005102,49.27122784],[-122.75315702,49.27121384],[-122.75601089,49.27121034],[-122.75610745,49.27120683],[-122.75609136,49.264234]]]]}}","13","Birchland Manor","802000"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""18"",""name"":""Woodland Acres PQ"",""benchmark_price"":""919200""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.79048264,49.27816469],[-122.79047728,49.27847966],[-122.78825104,49.27848666],[-122.78734446,49.27847616],[-122.78391123,49.27846916],[-122.77636349,49.27839216],[-122.77635276,49.2779512],[-122.77634203,49.27745775],[-122.77636886,49.27691179],[-122.77638495,49.2766493],[-122.77641714,49.27634482],[-122.77649224,49.27610683],[-122.77665317,49.27577785],[-122.77672827,49.27527737],[-122.77642787,49.27409439],[-122.77671218,49.27361489],[-122.7768892,49.27316689],[-122.77732909,49.27293239],[-122.77759731,49.27280289],[-122.77806401,49.27271539],[-122.77838051,49.27202237],[-122.77893841,49.27086382],[-122.77934074,49.26998526],[-122.77964652,49.26953722],[-122.77994692,49.26909969],[-122.78009176,49.26915569],[-122.78398633,49.27075881],[-122.78769314,49.27230588],[-122.79053092,49.27350989],[-122.79050946,49.27468238],[-122.790488,49.27535436],[-122.79048264,49.27701678],[-122.790488,49.2780177],[-122.79048264,49.27816469]]]]}}","18","Woodland Acres PQ","919200"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""12"",""name"":""Glenwood PQ"",""benchmark_price"":""747600""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.75655806,49.25914377],[-122.75642931,49.25930832],[-122.756145,49.25973194],[-122.75613964,49.26071921],[-122.75609136,49.26261316],[-122.75609672,49.2627672],[-122.75612354,49.26868665],[-122.75612354,49.27118583],[-122.75615573,49.27306539],[-122.75612354,49.27595634],[-122.75615036,49.27844816],[-122.76173472,49.27839216],[-122.76723325,49.27835017],[-122.77043581,49.27837467],[-122.77319849,49.27845516],[-122.77390122,49.27845166],[-122.77480245,49.27843766],[-122.77548909,49.27839566],[-122.77636349,49.27838167],[-122.77635813,49.27824518],[-122.77633667,49.27763623],[-122.77634203,49.27721976],[-122.77640641,49.27635882],[-122.7764976,49.27606833],[-122.77665317,49.27577785],[-122.77672827,49.27526337],[-122.77659953,49.27474538],[-122.77642787,49.27409439],[-122.77656198,49.27387389],[-122.77670681,49.27362889],[-122.7768892,49.27316339],[-122.77760267,49.27279589],[-122.77806401,49.27271189],[-122.77846098,49.27186136],[-122.77894378,49.27083932],[-122.77934611,49.26997476],[-122.77989864,49.26915219],[-122.77996302,49.26909969],[-122.77718961,49.26786756],[-122.77653515,49.26754552],[-122.77486682,49.26685593],[-122.77245283,49.26581978],[-122.77087569,49.26515117],[-122.76888549,49.26432502],[-122.76735663,49.2637089],[-122.76538789,49.26290373],[-122.7644974,49.26255715],[-122.76337087,49.26209855],[-122.76198685,49.26143339],[-122.76065648,49.26088375],[-122.76013076,49.26063168],[-122.75912762,49.26021857],[-122.75784016,49.25967592],[-122.75784016,49.25967592],[-122.75708377,49.25935383],[-122.75655806,49.25914377]]]]}}","12","Glenwood PQ","747600"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""9"",""name"":""Oxford Heights"",""benchmark_price"":""880600""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.73380756,49.28574091],[-122.73544371,49.28480663],[-122.73810446,49.28328795],[-122.73895204,49.28285053],[-122.74118364,49.28236762],[-122.74168253,49.28228363],[-122.74253547,49.28222415],[-122.74308264,49.28219265],[-122.74378538,49.28215066],[-122.74430037,49.28208767],[-122.74509966,49.28195819],[-122.74550736,49.28183221],[-122.74591506,49.28167474],[-122.74617255,49.28155576],[-122.74642467,49.28136679],[-122.74665534,49.28118132],[-122.74737954,49.28037293],[-122.74774432,49.27994949],[-122.74844706,49.27912359],[-122.75116146,49.27606133],[-122.75146186,49.27575685],[-122.751773,49.27564835],[-122.75215387,49.27556436],[-122.7525562,49.27554336],[-122.75292635,49.27555736],[-122.75341451,49.27566935],[-122.75384367,49.27586534],[-122.75411189,49.27601934],[-122.75434256,49.27619083],[-122.75528133,49.27690829],[-122.7557078,49.27722676],[-122.75613427,49.27754524],[-122.75613427,49.27844116],[-122.75910616,49.27843416],[-122.76316166,49.27837467],[-122.7672869,49.27835367],[-122.76720107,49.28432723],[-122.76722789,49.28503757],[-122.76720643,49.28925042],[-122.76436865,49.28925392],[-122.76294708,49.28925392],[-122.76156843,49.28925392],[-122.76163816,49.2857794],[-122.73663998,49.28574091],[-122.73512721,49.28574441],[-122.73445666,49.28574091],[-122.73417234,49.28574441],[-122.73380756,49.28574091]]]]}}","9","Oxford Heights","880600"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""11"",""name"":""Riverwood"",""benchmark_price"":""975600""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.73379683,49.27852865],[-122.71920562,49.27850065],[-122.7101022,49.27847966],[-122.69893885,49.27847966],[-122.70569801,49.27418889],[-122.70853043,49.27108083],[-122.71046162,49.26886866],[-122.71136284,49.26777655],[-122.71269321,49.26626434],[-122.71325111,49.26553623],[-122.71436691,49.26382792],[-122.71591187,49.26080323],[-122.71719933,49.25895471],[-122.7179718,49.25707812],[-122.71917343,49.25548156],[-122.72033215,49.25455721],[-122.72234917,49.25301659],[-122.72546053,49.25083163],[-122.72702694,49.24961305],[-122.72946239,49.24798123],[-122.73138285,49.24895473],[-122.75642395,49.2592628],[-122.75612354,49.25973894],[-122.75608063,49.26272169],[-122.75610209,49.26422],[-122.75479317,49.26464008],[-122.75423527,49.26468908],[-122.74847388,49.26538921],[-122.74667144,49.26578127],[-122.74475098,49.26625034],[-122.74356008,49.26698545],[-122.74241209,49.26774854],[-122.74132848,49.26847663],[-122.74080276,49.26900168],[-122.74025559,49.27026878],[-122.7397728,49.27123484],[-122.73879647,49.27124184],[-122.73718715,49.27126284],[-122.73375928,49.27129084],[-122.73377538,49.27448289],[-122.73379147,49.27783571],[-122.73379683,49.27852865]]]]}}","11","Riverwood","975600"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""10"",""name"":""Lincoln Park PQ"",""benchmark_price"":""780700""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.73372173,49.27130834],[-122.73374319,49.27366039],[-122.73374319,49.27532287],[-122.73377538,49.27849365],[-122.73381293,49.27915159],[-122.73368955,49.28574091],[-122.73385048,49.28570242],[-122.73390949,49.28567092],[-122.73518085,49.2849396],[-122.73625374,49.28433423],[-122.73809373,49.28328445],[-122.73893595,49.28285053],[-122.74004102,49.28260558],[-122.74116218,49.28236062],[-122.74201512,49.28226614],[-122.74386048,49.28217865],[-122.74386048,49.28218215],[-122.74508357,49.28195119],[-122.74593115,49.28169224],[-122.7462101,49.28153126],[-122.74663925,49.28117432],[-122.7469933,49.28085586],[-122.74772823,49.28000898],[-122.74855971,49.2790046],[-122.74881721,49.27869663],[-122.74997592,49.27741575],[-122.75083423,49.27643581],[-122.75120974,49.27600884],[-122.7514565,49.27574985],[-122.75213242,49.27556786],[-122.75260448,49.27555386],[-122.75295854,49.27555386],[-122.7534306,49.27570085],[-122.75405288,49.27598784],[-122.75444984,49.27627482],[-122.75542617,49.27700978],[-122.75612354,49.27752074],[-122.75610209,49.27657231],[-122.75612354,49.27566935],[-122.75616109,49.27481188],[-122.75615573,49.27362189],[-122.75611818,49.27121034],[-122.75452495,49.27121384],[-122.75178909,49.27122084],[-122.74887085,49.27123484],[-122.74531424,49.27124534],[-122.7426964,49.27123484],[-122.7426964,49.27123484],[-122.7426964,49.27123484],[-122.7426964,49.27123484],[-122.7426964,49.27123484],[-122.7426964,49.27123484],[-122.7426964,49.27123484],[-122.7426964,49.27123484],[-122.7426964,49.27123484],[-122.7426964,49.27123484],[-122.7426964,49.27123484],[-122.74154305,49.27125584],[-122.74042189,49.27126634],[-122.73815811,49.27126284],[-122.73815811,49.27126284],[-122.73372173,49.27130834]]]]}}","10","Lincoln Park PQ","780700"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""22"",""name"":""Lower Mary Hill"",""benchmark_price"":""801600""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.76677728,49.25330371],[-122.76676118,49.25266994],[-122.76676118,49.25222175],[-122.76675045,49.25113277],[-122.76675582,49.25017682],[-122.76675045,49.24965857],[-122.76334405,49.24964457],[-122.76233017,49.24965157],[-122.7623409,49.24854852],[-122.76233554,49.2479322],[-122.76233554,49.24744895],[-122.76233554,49.24675908],[-122.76233554,49.24593613],[-122.76233017,49.24542834],[-122.76233554,49.24500459],[-122.76233554,49.24458085],[-122.7623409,49.24409756],[-122.76233554,49.24358975],[-122.76233554,49.24329207],[-122.76233554,49.24284029],[-122.76233554,49.24220289],[-122.76233554,49.24176861],[-122.76231945,49.24144991],[-122.76230335,49.24139037],[-122.76226044,49.24126078],[-122.76221752,49.24117673],[-122.76197612,49.240837],[-122.76189566,49.24077396],[-122.7621907,49.24062686],[-122.76242137,49.24050078],[-122.76255012,49.24044124],[-122.76269495,49.24037119],[-122.76280761,49.24031866],[-122.7629149,49.24026962],[-122.76305974,49.24018907],[-122.76324749,49.240091],[-122.7633816,49.24000344],[-122.76354253,49.23990537],[-122.76365519,49.23981781],[-122.7637732,49.23972675],[-122.76392877,49.23958666],[-122.7730751,49.23957965],[-122.77350426,49.23985634],[-122.77380466,49.24013653],[-122.77386904,49.24048677],[-122.77386904,49.24066189],[-122.77378857,49.24108917],[-122.77341306,49.24215736],[-122.7733165,49.24252159],[-122.77330577,49.24295937],[-122.7734077,49.24355473],[-122.77346134,49.2441641],[-122.77349889,49.24458435],[-122.77357936,49.24505012],[-122.77353644,49.24545285],[-122.77332723,49.24611122],[-122.77321458,49.24646142],[-122.77308583,49.24670305],[-122.77265131,49.24711627],[-122.77232945,49.24744545],[-122.77210414,49.24769408],[-122.77192175,49.24815982],[-122.77184129,49.24877964],[-122.77190566,49.24917884],[-122.77210951,49.2501313],[-122.77223825,49.25066005],[-122.77234554,49.25113977],[-122.77261913,49.25191712],[-122.77263522,49.25197664],[-122.77283907,49.25228128],[-122.77310193,49.25268045],[-122.77336478,49.25297807],[-122.77354717,49.2532862],[-122.77353108,49.25340875],[-122.77324677,49.25337024],[-122.77296245,49.25331771],[-122.77278543,49.25330721],[-122.7719003,49.25330371],[-122.77018905,49.25329671],[-122.76885867,49.25329671],[-122.76677728,49.25330371]]]]}}","22","Lower Mary Hill","801600"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""25"",""name"":""Mary Hill"",""benchmark_price"":""829700""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.78927565,49.25184709],[-122.79477417,49.25191362],[-122.79440403,49.25211671],[-122.79402316,49.25226377],[-122.79395342,49.25229178],[-122.79363155,49.25236882],[-122.79320776,49.25242484],[-122.79227972,49.25241083],[-122.79209733,49.25241433],[-122.79167354,49.25245635],[-122.79126585,49.2525614],[-122.79103518,49.25266294],[-122.79076695,49.25283451],[-122.78933465,49.25396198],[-122.78920054,49.25404951],[-122.78866947,49.25438914],[-122.78820813,49.25455021],[-122.78805792,49.25457472],[-122.78780043,49.25462023],[-122.78767705,49.25463074],[-122.78595507,49.25464124],[-122.78426528,49.25460973],[-122.78283834,49.25458872],[-122.78101444,49.25457472],[-122.78085351,49.25457472],[-122.78058529,49.2545397],[-122.77854681,49.25409153],[-122.77832687,49.254032],[-122.77663171,49.2540285],[-122.77492046,49.25368887],[-122.77353644,49.25340525],[-122.77354181,49.25333872],[-122.77355254,49.2532932],[-122.77338088,49.25300609],[-122.77325213,49.25284502],[-122.77311265,49.25269095],[-122.77284443,49.25228828],[-122.77263522,49.25198015],[-122.77256548,49.25175955],[-122.77243137,49.25138488],[-122.77235627,49.25116428],[-122.77220607,49.25052699],[-122.7720505,49.24985817],[-122.77195394,49.24938544],[-122.77184129,49.24879365],[-122.77191639,49.24817033],[-122.77209878,49.24770809],[-122.77215779,49.24763805],[-122.77240992,49.2473579],[-122.77300537,49.24677659],[-122.77309656,49.24669605],[-122.77321458,49.24646842],[-122.77353644,49.24545986],[-122.77357936,49.24505362],[-122.77350962,49.24464739],[-122.77347207,49.24418861],[-122.7734077,49.24357575],[-122.77331114,49.24299789],[-122.77331114,49.24255311],[-122.77344525,49.2420663],[-122.77376711,49.24118373],[-122.77378857,49.24110668],[-122.77386904,49.24066539],[-122.77380466,49.24013653],[-122.77349889,49.23985284],[-122.7730912,49.23959366],[-122.77321458,49.23957965],[-122.77560711,49.23933798],[-122.77815521,49.23908231],[-122.78083742,49.23880561],[-122.78159916,49.23883713],[-122.78304756,49.23886866],[-122.78526306,49.23891769],[-122.78704405,49.23896322],[-122.78863192,49.23899825],[-122.78992474,49.23902627],[-122.78915226,49.23999644],[-122.78833151,49.24112419],[-122.78804719,49.24157599],[-122.78754294,49.24210133],[-122.78712988,49.24242353],[-122.7868402,49.24259164],[-122.78636277,49.24287531],[-122.78593361,49.24311696],[-122.78570831,49.24324304],[-122.78547764,49.24336912],[-122.7853328,49.24349169],[-122.78512359,49.24372283],[-122.78464079,49.24423414],[-122.78410435,49.24475245],[-122.78378248,49.2450116],[-122.78351963,49.24521121],[-122.78322995,49.24548087],[-122.7830261,49.2457155],[-122.78273106,49.24634235],[-122.78269351,49.24710927],[-122.78268278,49.24758552],[-122.78269887,49.2479217],[-122.78601408,49.24794621],[-122.78599262,49.25184008],[-122.78927565,49.25184709]]]]}}","25","Mary Hill","829700"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""23"",""name"":""Central Pt Coquitlam"",""benchmark_price"":""743300""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.73139358,49.24894772],[-122.72945166,49.24798123],[-122.73152232,49.24655247],[-122.73463368,49.24475945],[-122.73810983,49.24343566],[-122.74062037,49.24270721],[-122.74213314,49.24218188],[-122.74373174,49.24176161],[-122.74493337,49.24140438],[-122.74577022,49.24118023],[-122.74754047,49.24064788],[-122.74903178,49.2402346],[-122.75022268,49.23996141],[-122.75143504,49.23958315],[-122.75238991,49.23934499],[-122.75344133,49.23898073],[-122.75433183,49.23865851],[-122.75530815,49.23832227],[-122.75619864,49.237951],[-122.75658488,49.23770582],[-122.75714278,49.23734856],[-122.75797963,49.23674962],[-122.75884867,49.23600356],[-122.75911689,49.23577938],[-122.75945485,49.23554821],[-122.75978744,49.23537307],[-122.76029706,49.2350228],[-122.76065111,49.23484766],[-122.76117682,49.23457445],[-122.76208878,49.23393694],[-122.76469588,49.23533454],[-122.76556492,49.23637484],[-122.76539862,49.23646941],[-122.76512504,49.23661652],[-122.76504457,49.23668657],[-122.76470661,49.23702282],[-122.76456177,49.23724699],[-122.76443839,49.23747115],[-122.76441157,49.23761826],[-122.76438475,49.23843785],[-122.76441157,49.23877759],[-122.76432574,49.23897373],[-122.76427746,49.23913834],[-122.76417017,49.23934849],[-122.76403069,49.23947808],[-122.76393414,49.23959016],[-122.76372492,49.23977228],[-122.76339769,49.24001045],[-122.76315629,49.24014704],[-122.76270568,49.24037469],[-122.76189566,49.24077046],[-122.76198149,49.24084401],[-122.76222289,49.24118373],[-122.76231945,49.24140788],[-122.76232481,49.24147792],[-122.7623409,49.24188068],[-122.7623409,49.24282278],[-122.7623409,49.24375786],[-122.76234627,49.24480848],[-122.76233017,49.24576453],[-122.7623409,49.24686764],[-122.76233554,49.24786217],[-122.7623409,49.24860805],[-122.7623409,49.24899675],[-122.76233017,49.24965157],[-122.76334405,49.24965157],[-122.76542008,49.24965857],[-122.76674509,49.24966208],[-122.76675582,49.25108725],[-122.76676655,49.25222175],[-122.76677728,49.25330371],[-122.76724935,49.25330371],[-122.76788235,49.25330021],[-122.76949167,49.25329671],[-122.77084887,49.25330371],[-122.77195394,49.25330721],[-122.77287662,49.25331071],[-122.77352571,49.25340175],[-122.77527988,49.2537659],[-122.77663171,49.2540285],[-122.77831078,49.25403901],[-122.77855217,49.25409153],[-122.7794534,49.25429111],[-122.78060675,49.2545432],[-122.78085887,49.25457472],[-122.78158844,49.25457822],[-122.78263986,49.25458172],[-122.78298318,49.25459222],[-122.78339088,49.25459222],[-122.78487146,49.25461323],[-122.78593361,49.25463774],[-122.78640568,49.25463074],[-122.7869314,49.25463074],[-122.78753221,49.25462373],[-122.78768778,49.25462373],[-122.78784871,49.25460973],[-122.78799355,49.25458172],[-122.78813303,49.25456771],[-122.78828323,49.2545257],[-122.78844953,49.25446968],[-122.78865337,49.25439265],[-122.78879821,49.25430861],[-122.78903425,49.25415805],[-122.7893132,49.25397248],[-122.78940976,49.25389545],[-122.7896136,49.25373789],[-122.78997838,49.25345427],[-122.79021442,49.25325819],[-122.79053092,49.25301659],[-122.79074013,49.25284152],[-122.79103518,49.25266294],[-122.79126585,49.2525579],[-122.79167354,49.25245635],[-122.79211342,49.25240733],[-122.79259622,49.25241433],[-122.79319167,49.25242134],[-122.79360473,49.25237232],[-122.79395342,49.25228828],[-122.79438794,49.25212371],[-122.79492974,49.25181557],[-122.79519796,49.2516545],[-122.79577196,49.25132185],[-122.79651225,49.25087715],[-122.79653907,49.25086665],[-122.79688239,49.2512133],[-122.79724181,49.25168952],[-122.79743493,49.25201866],[-122.79759586,49.25236882],[-122.79779434,49.25311113],[-122.79789627,49.25380091],[-122.7979821,49.25430161],[-122.79793918,49.25487583],[-122.79783189,49.255331],[-122.79735446,49.25610478],[-122.79716134,49.2564269],[-122.79716134,49.25691706],[-122.7973491,49.25735821],[-122.7974081,49.25748425],[-122.7974242,49.25770483],[-122.79741883,49.25833152],[-122.7974081,49.25855909],[-122.79732764,49.25918928],[-122.79730618,49.25928031],[-122.7970916,49.25963041],[-122.79668391,49.25993499],[-122.79605091,49.26038312],[-122.79564857,49.26058267],[-122.79496193,49.2607052],[-122.79482245,49.2607122],[-122.79366374,49.26073671],[-122.7930361,49.26075071],[-122.79203832,49.26086974],[-122.79090106,49.26105529],[-122.79075086,49.2610903],[-122.79061675,49.26112881],[-122.79074013,49.26320129],[-122.79074013,49.26347785],[-122.79072404,49.26439853],[-122.79071867,49.26457356],[-122.79070258,49.2647731],[-122.79068112,49.26494813],[-122.79067039,49.26502514],[-122.79067039,49.26513366],[-122.7906543,49.26515117],[-122.79064894,49.26518617],[-122.79064894,49.26524568],[-122.7906543,49.26529469],[-122.79064894,49.26539621],[-122.79063821,49.26552573],[-122.79063284,49.26575677],[-122.79062748,49.26604031],[-122.79060602,49.2666319],[-122.79056847,49.26757702],[-122.79053628,49.26844162],[-122.79052556,49.26863764],[-122.79053092,49.26887217],[-122.79052019,49.26949872],[-122.79049873,49.27017077],[-122.790488,49.2705278],[-122.79045582,49.27129784],[-122.79044509,49.27162335],[-122.79043436,49.27225688],[-122.79042363,49.27277139],[-122.79041827,49.27346089],[-122.78885186,49.27279239],[-122.78480709,49.27109483],[-122.77996302,49.26910669],[-122.7778548,49.26815109],[-122.77725399,49.26790256],[-122.77652979,49.26753852],[-122.77406752,49.26650588],[-122.77317703,49.26613132],[-122.77168572,49.26548372],[-122.77071476,49.26507415],[-122.76573658,49.26303676],[-122.76452422,49.26255365],[-122.76336014,49.26209155],[-122.76237309,49.26162243],[-122.76181519,49.26135987],[-122.76039362,49.26075772],[-122.75942802,49.26035511],[-122.75808156,49.25978445],[-122.75656343,49.25914377],[-122.75644541,49.25928031],[-122.75627911,49.25921729],[-122.7558285,49.25902123],[-122.75395095,49.25822999],[-122.75181592,49.25736521],[-122.74967015,49.25647941],[-122.74787307,49.25573715],[-122.74662316,49.25522246],[-122.7449441,49.2545327],[-122.73139358,49.24894772]]]]}}","23","Central Pt Coquitlam","743300"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""24"",""name"":""Citadel PQ"",""benchmark_price"":""980400""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.76469588,49.23532754],[-122.7620995,49.23394394],[-122.76299,49.23336247],[-122.7636981,49.23298416],[-122.76434183,49.23259184],[-122.76500702,49.23219951],[-122.76556492,49.23176514],[-122.76629448,49.23133077],[-122.76708841,49.23050406],[-122.76766777,49.22950918],[-122.76826859,49.22746331],[-122.77037144,49.2275614],[-122.77185202,49.22749134],[-122.77500629,49.22731617],[-122.77770996,49.2269238],[-122.77916908,49.2267066],[-122.78034925,49.22647538],[-122.78269887,49.22585879],[-122.78455496,49.22530525],[-122.78544545,49.22512307],[-122.78749466,49.22451347],[-122.7891469,49.22407202],[-122.79039145,49.22367262],[-122.79165745,49.22332927],[-122.79266596,49.2229649],[-122.79423237,49.22216608],[-122.7948761,49.22184374],[-122.79564857,49.2215214],[-122.79637814,49.22119906],[-122.79706478,49.22100285],[-122.79775143,49.22068051],[-122.79863119,49.22044225],[-122.79940367,49.22018998],[-122.80006886,49.21981157],[-122.80514359,49.22547691],[-122.80558348,49.22600943],[-122.80594826,49.22646136],[-122.80612528,49.22677666],[-122.80628622,49.22722509],[-122.80635059,49.2275614],[-122.80629158,49.2278837],[-122.80608773,49.22824103],[-122.80572832,49.22882957],[-122.80502021,49.22935504],[-122.80400097,49.2299786],[-122.80335188,49.23039546],[-122.80299783,49.23091041],[-122.80264914,49.23150943],[-122.80186057,49.23225556],[-122.80117393,49.23308224],[-122.80079305,49.23356914],[-122.80032098,49.23449388],[-122.80021906,49.23482314],[-122.80010641,49.235282],[-122.80010104,49.23565679],[-122.80029416,49.2357934],[-122.80074477,49.2360596],[-122.80120075,49.23620671],[-122.80187666,49.2361962],[-122.80254185,49.23617869],[-122.80344844,49.23613666],[-122.80436039,49.23621372],[-122.80517578,49.23638535],[-122.80611992,49.23670759],[-122.80658662,49.23706135],[-122.80716598,49.23762877],[-122.80723035,49.23800704],[-122.80723572,49.23858846],[-122.80712843,49.23925743],[-122.80701578,49.24017856],[-122.80696213,49.24090004],[-122.80687094,49.24118373],[-122.80682266,49.24142189],[-122.80676365,49.24151995],[-122.80657589,49.24165654],[-122.8063184,49.24178963],[-122.80590534,49.24193322],[-122.80573905,49.24196124],[-122.80534208,49.24198575],[-122.8049612,49.24204879],[-122.80447304,49.24212934],[-122.80415654,49.2422134],[-122.80378103,49.24232547],[-122.80355036,49.24242703],[-122.80265987,49.24279827],[-122.80221999,49.24304342],[-122.80191422,49.24326405],[-122.80182302,49.24343216],[-122.8017801,49.24363178],[-122.8017801,49.24384191],[-122.80188203,49.24401701],[-122.8021127,49.24436372],[-122.80240238,49.24459836],[-122.80279934,49.24497308],[-122.80288517,49.24513767],[-122.80299246,49.24531627],[-122.80286908,49.24559293],[-122.80255258,49.24591511],[-122.80225754,49.24611823],[-122.8020215,49.24623029],[-122.80137777,49.24636336],[-122.80086279,49.24638087],[-122.80047119,49.24638788],[-122.80011177,49.24638788],[-122.79966652,49.24639138],[-122.79938757,49.24641589],[-122.79898524,49.24646492],[-122.79874921,49.24656998],[-122.79850245,49.24669955],[-122.79836297,49.24686414],[-122.79823422,49.24711627],[-122.79818594,49.24743144],[-122.79819667,49.24763805],[-122.79825568,49.24794271],[-122.79826641,49.24818784],[-122.79816449,49.24840495],[-122.79808939,49.24848199],[-122.79799819,49.24857654],[-122.79779971,49.24865358],[-122.79764414,49.24868509],[-122.79748321,49.24867459],[-122.79733837,49.24866408],[-122.79697359,49.2485135],[-122.79649079,49.24832441],[-122.79619575,49.24821935],[-122.79573977,49.24826838],[-122.79556811,49.24838394],[-122.79546082,49.24862906],[-122.7954179,49.24884967],[-122.79545009,49.24909129],[-122.79566467,49.24954302],[-122.79592752,49.25011029],[-122.79608309,49.25038692],[-122.79629767,49.25060753],[-122.79642642,49.25075109],[-122.79649615,49.25083513],[-122.79653907,49.25088415],[-122.79477417,49.25191012],[-122.78599262,49.25184008],[-122.78600872,49.24794271],[-122.78275788,49.2479217],[-122.78267205,49.24788668],[-122.78267741,49.24764856],[-122.78268814,49.24748047],[-122.78270423,49.24693768],[-122.78272569,49.24633535],[-122.78287053,49.24598165],[-122.78301001,49.24572951],[-122.78326213,49.24544585],[-122.78351963,49.24520771],[-122.78396487,49.24487852],[-122.78424382,49.24462637],[-122.78455496,49.2443287],[-122.78487682,49.24398549],[-122.78528452,49.24354072],[-122.78557956,49.24329908],[-122.78598189,49.24309945],[-122.78620183,49.24296637],[-122.78655589,49.24276324],[-122.78696358,49.24252509],[-122.78726935,49.24232197],[-122.7874732,49.24215736],[-122.78759658,49.24205229],[-122.78789699,49.24173359],[-122.78804719,49.24156898],[-122.78853536,49.24080548],[-122.78858364,49.24072843],[-122.78894305,49.24025911],[-122.78930247,49.23981081],[-122.78991938,49.23902627],[-122.78306901,49.23886866],[-122.78158307,49.23883713],[-122.78084815,49.23880211],[-122.7730912,49.23959716],[-122.7639395,49.23958666],[-122.76401997,49.23951311],[-122.76414335,49.23938352],[-122.76421845,49.2392224],[-122.76426673,49.23916286],[-122.76432037,49.23895972],[-122.76437402,49.23885114],[-122.76438475,49.23870404],[-122.76439011,49.23860947],[-122.7644223,49.2376778],[-122.76443303,49.23757973],[-122.76445985,49.23745714],[-122.76456714,49.23725399],[-122.76469052,49.23706485],[-122.76487291,49.23687922],[-122.76501238,49.2367216],[-122.76511967,49.23663403],[-122.76549518,49.23642037],[-122.76557028,49.23638184],[-122.76551664,49.23630829],[-122.76469588,49.23532754]]]]}}","24","Citadel PQ","980400"
