"the_geom","cartodb_id","name","benchmark_price"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""44"",""name"":""Glenayre"",""benchmark_price"":""1157300""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.89345264,49.27027228],[-122.89364576,49.27630982],[-122.88077116,49.27637982],[-122.88043857,49.27087782],[-122.88040638,49.27075531],[-122.88036346,49.2706468],[-122.88022399,49.2705138],[-122.88012743,49.27045079],[-122.89345264,49.27027228]]]]}}","44","Glenayre","1157300"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""53"",""name"":""Belcarra"",""benchmark_price"":""0""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.86620677,49.35968171],[-122.88602829,49.36124695],[-122.89117813,49.3566629],[-122.92838573,49.33446334],[-122.9461956,49.29412064],[-122.93392181,49.29398069],[-122.92615414,49.29414862],[-122.91745305,49.29177655],[-122.91053295,49.29174157],[-122.91018963,49.3006275],[-122.90141881,49.30349585],[-122.90140271,49.30674877],[-122.89582372,49.30682572],[-122.89357066,49.30845559],[-122.8926909,49.30950484],[-122.87383497,49.30940341],[-122.87384033,49.31322249],[-122.87811041,49.31327495],[-122.87802458,49.31571243],[-122.86736548,49.31544665],[-122.86736548,49.3228668],[-122.86248386,49.32282484],[-122.86248922,49.32387378],[-122.85874486,49.32390175],[-122.85876095,49.3250136],[-122.85428166,49.3250136],[-122.8543514,49.32993273],[-122.87421584,49.33017045],[-122.87221491,49.34514498],[-122.86620677,49.35968171]]]]}}","53","Belcarra","0"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""46"",""name"":""North Shore Pt Moody"",""benchmark_price"":""1094700""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.82114565,49.28806428],[-122.82418191,49.28841418],[-122.82439113,49.28923293],[-122.82487392,49.29060097],[-122.82515287,49.29071993],[-122.82662272,49.29130073],[-122.8271538,49.29092286],[-122.82752931,49.29058348],[-122.82821059,49.29011814],[-122.82857001,49.28990471],[-122.82921374,49.28984523],[-122.8300184,49.28943936],[-122.8300935,49.28929591],[-122.83031344,49.28914545],[-122.83046901,49.28906498],[-122.83059239,49.28903699],[-122.83066213,49.28890403],[-122.8307265,49.28875357],[-122.83075333,49.28862411],[-122.83073723,49.28840718],[-122.83080697,49.28798031],[-122.83070505,49.28784035],[-122.8305763,49.28770738],[-122.83049583,49.28750444],[-122.83072114,49.28721752],[-122.83083379,49.28710555],[-122.83096254,49.28699358],[-122.83126831,49.28685012],[-122.83143997,49.28668567],[-122.83242702,49.28717553],[-122.83254504,49.28723152],[-122.83308685,49.28774937],[-122.83335507,49.28828472],[-122.83338726,49.289002],[-122.8352648,49.28969128],[-122.83642352,49.28926791],[-122.83815622,49.28921893],[-122.83842444,49.28944636],[-122.83860683,49.28956182],[-122.83876777,49.28965979],[-122.83907354,49.28971577],[-122.83940613,49.28976475],[-122.84045756,49.29029308],[-122.84109592,49.29061497],[-122.84143925,49.29090537],[-122.84374595,49.29313404],[-122.84598827,49.29413463],[-122.84675002,49.2942116],[-122.85019398,49.2946874],[-122.85067677,49.29493229],[-122.85125613,49.29520517],[-122.85211444,49.29530313],[-122.85295129,49.29532412],[-122.852844,49.29496728],[-122.85304785,49.29488331],[-122.8532517,49.2941976],[-122.85324097,49.29356786],[-122.85436213,49.29314803],[-122.85520971,49.29367282],[-122.85582125,49.29404717],[-122.85667419,49.29434804],[-122.85795629,49.29449498],[-122.85927057,49.29476087],[-122.86034346,49.29535211],[-122.86094427,49.29577892],[-122.86268234,49.29702085],[-122.86371231,49.29775549],[-122.86447942,49.29826624],[-122.86504269,49.29852861],[-122.86501586,49.29929122],[-122.86847591,49.30092834],[-122.86803067,49.30129563],[-122.86753714,49.30145654],[-122.85884142,49.30593031],[-122.87345409,49.30597228],[-122.87349701,49.3048635],[-122.87346482,49.30443327],[-122.87348628,49.29528214],[-122.86457062,49.29531363],[-122.85010815,49.28516355],[-122.83348918,49.28462467],[-122.83309221,49.28488711],[-122.8307426,49.28413478],[-122.83008277,49.28399131],[-122.82943904,49.2840018],[-122.82869339,49.28407179],[-122.82846272,49.28411028],[-122.82761514,49.28132829],[-122.8271699,49.27994949],[-122.82717526,49.27937906],[-122.82727182,49.27843066],[-122.82728255,49.27829417],[-122.82728255,49.27812269],[-122.82723427,49.27793371],[-122.82699287,49.27744375],[-122.82650471,49.27752074],[-122.82407999,49.27771323],[-122.82403708,49.28046742],[-122.82115102,49.28046042],[-122.82109201,49.28462117],[-122.82114565,49.28806428]]]]}}","46","North Shore Pt Moody","1094700"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""50"",""name"":""Barber Street"",""benchmark_price"":""1241600""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.85030127,49.30619264],[-122.85066068,49.30792047],[-122.85699606,49.30791697],[-122.85883605,49.30593031],[-122.86282718,49.30388411],[-122.86752641,49.30146004],[-122.86803067,49.30129913],[-122.86848128,49.30092834],[-122.86501586,49.29929122],[-122.86504805,49.29852861],[-122.86446333,49.29825574],[-122.86035419,49.29535561],[-122.85927594,49.29476087],[-122.85796165,49.29449498],[-122.85666883,49.29434454],[-122.85582125,49.29404367],[-122.85436749,49.29314803],[-122.85324097,49.29356786],[-122.85325706,49.29419411],[-122.85305321,49.29488681],[-122.85284936,49.29496728],[-122.85294592,49.29532412],[-122.85306931,49.2956005],[-122.8532517,49.29590836],[-122.85352528,49.29631767],[-122.85381496,49.29656606],[-122.85407782,49.29784295],[-122.85402417,49.29798288],[-122.85411,49.29820327],[-122.85413682,49.29835719],[-122.85401881,49.29851112],[-122.85407782,49.29866504],[-122.8538096,49.29899037],[-122.85390615,49.29918977],[-122.85384178,49.29937517],[-122.85385251,49.29963404],[-122.85395443,49.30001883],[-122.85236657,49.30019374],[-122.85131514,49.30086187],[-122.85083771,49.30130962],[-122.85050511,49.30251993],[-122.85034418,49.30360078],[-122.85030127,49.30619264]]]]}}","50","Barber Street","1241600"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""52"",""name"":""Anmore"",""benchmark_price"":""0""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.82310903,49.32499612],[-122.82312512,49.31941912],[-122.82852709,49.31292523],[-122.8331995,49.31307911],[-122.83350527,49.30556305],[-122.83540964,49.30558054],[-122.83552229,49.29929122],[-122.84208298,49.29938916],[-122.84182549,49.30602825],[-122.85030127,49.30619614],[-122.85066068,49.30792047],[-122.85700142,49.30792047],[-122.85884678,49.30593031],[-122.87384033,49.30597928],[-122.8738296,49.30940341],[-122.87384033,49.31321899],[-122.87811041,49.31327495],[-122.87802458,49.31570893],[-122.86736012,49.31544665],[-122.86736012,49.3228668],[-122.86247849,49.32282484],[-122.86248386,49.32387378],[-122.8587395,49.32390175],[-122.85875559,49.32501011],[-122.85428166,49.32501011],[-122.8543514,49.32993273],[-122.87422657,49.33017045],[-122.87220955,49.34514498],[-122.8662014,49.35968171],[-122.82405853,49.35727786],[-122.82310903,49.32499612]]]]}}","52","Anmore","0"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""56"",""name"":""Ioco"",""benchmark_price"":""0""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.91053295135498,49.291743316827095],[-122.91049540042877,49.292719448500115],[-122.91047528386116,49.293263484825374],[-122.91044577956198,49.293999936009],[-122.91042566299437,49.294527340249736],[-122.91041895747185,49.294686522510624],[-122.91039749979973,49.29529001102863],[-122.9103747010231,49.29584976188959],[-122.91035458445549,49.29638326851221],[-122.91033446788788,49.2968879079866],[-122.91031301021577,49.29741877963858],[-122.91029423475266,49.297963638666424],[-122.9102700948715,49.298567087060604],[-122.91024729609488,49.29915128803219],[-122.91022315621376,49.29980981765099],[-122.91019096970558,49.30062837606553],[-122.90908724069595,49.30098867738306],[-122.907834649086,49.301399697514114],[-122.90424317121506,49.30257414678276],[-122.90142014622687,49.303497595798525],[-122.9014040529728,49.306748768149454],[-122.89582371711731,49.30682571637554],[-122.8935706615448,49.308454717095984],[-122.89316296577454,49.30894524299345],[-122.89277672767638,49.30940516123458],[-122.89269223809242,49.309506587493175],[-122.89171725511551,49.30950046694901],[-122.88688123226166,49.30947423603682],[-122.88199827075003,49.30944887947509],[-122.87382960319519,49.30940428686936],[-122.87384033203124,49.30598015370496],[-122.87345543503761,49.30597927927897],[-122.87349835038184,49.30486787129949],[-122.87347152829172,49.30452158957637],[-122.87346750497818,49.30445425673648],[-122.87346750497818,49.30406424912677],[-122.87346884608267,49.30363751080639],[-122.87346750497818,49.30351071284736],[-122.87346884608267,49.30314693206446],[-122.8734701871872,49.30239400224922],[-122.87347555160522,49.30032753993782],[-122.87348628044127,49.29527601717567],[-122.87428826093672,49.295268145631624],[-122.87527933716773,49.2952532771561],[-122.89327830076218,49.29504511802806],[-122.90413856506346,49.29176955717864],[-122.91053295135498,49.291743316827095]]]}}","56","Ioco","0"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""47"",""name"":""Mountain Meadows"",""benchmark_price"":""1064400""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.82662272,49.29130073],[-122.82641351,49.29182554],[-122.82635987,49.29222439],[-122.82602727,49.29256376],[-122.8256464,49.2927282],[-122.82527626,49.29291362],[-122.82502413,49.29338594],[-122.82493293,49.29370081],[-122.82468081,49.29409615],[-122.8242141,49.29503375],[-122.82392442,49.2958139],[-122.82390833,49.29633866],[-122.82373667,49.29683893],[-122.82362938,49.29706632],[-122.82330751,49.29707332],[-122.82332361,49.29466291],[-122.82104373,49.29464192],[-122.82106519,49.29366932],[-122.82117248,49.28987322],[-122.82114565,49.28806428],[-122.82418191,49.28841768],[-122.82439649,49.28925042],[-122.82486856,49.29060097],[-122.82662272,49.29130073]]]]}}","47","Mountain Meadows","1064400"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""48"",""name"":""Heritage Woods PM"",""benchmark_price"":""1616700""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.82330751,49.29707682],[-122.82362938,49.29706632],[-122.82503486,49.29707332],[-122.82519579,49.29705933],[-122.82530308,49.29704184],[-122.82589316,49.29693688],[-122.826671,49.29676197],[-122.82770097,49.29650309],[-122.82794774,49.29644711],[-122.82838762,49.29639814],[-122.8286773,49.29638064],[-122.82898307,49.29638414],[-122.83201933,49.29666401],[-122.83337116,49.29679345],[-122.83404171,49.29682844],[-122.83466399,49.29683193],[-122.83523798,49.29679695],[-122.83555984,49.29675847],[-122.83540428,49.30558054],[-122.83349991,49.30555955],[-122.8331995,49.31307911],[-122.82852173,49.31292523],[-122.82312512,49.31941563],[-122.82314658,49.31086183],[-122.82316804,49.30609121],[-122.82317877,49.30217363],[-122.82316804,49.30101929],[-122.82330751,49.29707682]]]]}}","48","Heritage Woods PM","1616700"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""49"",""name"":""Heritage Mountain"",""benchmark_price"":""1546700""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.83551693,49.29929122],[-122.84208298,49.29938916],[-122.84182549,49.30602825],[-122.85030127,49.30619614],[-122.85034418,49.30359379],[-122.85050511,49.30251643],[-122.85083771,49.30131312],[-122.85132051,49.30086537],[-122.8523612,49.30019374],[-122.85394907,49.30001883],[-122.85385251,49.29964103],[-122.85384178,49.29937517],[-122.85390615,49.29918627],[-122.8538096,49.29899037],[-122.85407782,49.29866854],[-122.85402417,49.29851461],[-122.85413146,49.29835369],[-122.85411,49.29820677],[-122.85402417,49.29798988],[-122.85407782,49.29784295],[-122.8540349,49.29757008],[-122.85387397,49.2968984],[-122.8538096,49.29656956],[-122.85353065,49.29631767],[-122.85328388,49.29595384],[-122.85306931,49.29559],[-122.85295129,49.29533112],[-122.85210371,49.29530313],[-122.8512454,49.29520517],[-122.85019398,49.2946874],[-122.84673929,49.2942046],[-122.84600973,49.29414862],[-122.84375668,49.29313404],[-122.84141779,49.29088787],[-122.84110665,49.29061497],[-122.8394115,49.28976126],[-122.83875704,49.28966329],[-122.83842444,49.28944636],[-122.83815622,49.28921543],[-122.83643961,49.28926442],[-122.8352648,49.28969128],[-122.83339262,49.2889985],[-122.83335507,49.28828472],[-122.83309758,49.28775637],[-122.83254504,49.28722802],[-122.83144534,49.28668916],[-122.83126295,49.28685712],[-122.8309679,49.28699358],[-122.83072114,49.28721752],[-122.8305012,49.28750444],[-122.83056557,49.28770389],[-122.83071578,49.28784385],[-122.83081234,49.28798031],[-122.83073723,49.28840018],[-122.83075333,49.28863111],[-122.8307265,49.28875357],[-122.83059776,49.28903699],[-122.83047438,49.28906148],[-122.83031881,49.28914195],[-122.83009887,49.28929241],[-122.8300184,49.28944636],[-122.82922447,49.28984523],[-122.82858074,49.28990471],[-122.82820523,49.29012164],[-122.8275454,49.29057298],[-122.82715917,49.29092286],[-122.82661736,49.29130423],[-122.82640815,49.29182904],[-122.82635987,49.29222439],[-122.82603264,49.29256726],[-122.82563031,49.29273169],[-122.82527089,49.29290663],[-122.82502413,49.29338244],[-122.82493293,49.29370081],[-122.82468617,49.29409265],[-122.8242141,49.29503375],[-122.82391906,49.29580691],[-122.82390833,49.29633866],[-122.82374203,49.29683893],[-122.82363474,49.29706632],[-122.82504559,49.29707332],[-122.82527089,49.29704883],[-122.82590389,49.29693688],[-122.82697141,49.296685],[-122.82765269,49.29651708],[-122.82792091,49.29645411],[-122.82832861,49.29640513],[-122.8286773,49.29638414],[-122.82898307,49.29638414],[-122.82973409,49.29645061],[-122.83078551,49.29654857],[-122.83306539,49.29676197],[-122.83337653,49.29678995],[-122.83402562,49.29682844],[-122.83426702,49.29683193],[-122.8346318,49.29683193],[-122.83514142,49.29680395],[-122.83522725,49.29680395],[-122.83555984,49.29676197],[-122.83551693,49.29929122]]]]}}","49","Heritage Mountain","1546700"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""45"",""name"":""College Park"",""benchmark_price"":""1177600""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.89365113,49.27630982],[-122.89335608,49.28997119],[-122.89247096,49.29014613],[-122.89187014,49.29024759],[-122.89123714,49.29027908],[-122.89051831,49.29027558],[-122.88948834,49.2902266],[-122.88940251,49.29020561],[-122.88743377,49.2899432],[-122.88669348,49.28989071],[-122.88564742,49.28989071],[-122.88443506,49.28995019],[-122.88339436,49.29001317],[-122.88235366,49.29016712],[-122.88176358,49.29030707],[-122.88059413,49.29063596],[-122.87971973,49.29085638],[-122.87878096,49.29103482],[-122.87770271,49.29115378],[-122.87722528,49.29116777],[-122.87633479,49.29116428],[-122.87519217,49.2911013],[-122.8741622,49.29087038],[-122.87358284,49.29073043],[-122.87291229,49.29046802],[-122.87023008,49.28922243],[-122.87013352,49.28917344],[-122.86989748,49.28901949],[-122.86888897,49.28817975],[-122.86856711,49.28789633],[-122.86805749,49.28727701],[-122.86771953,49.28674165],[-122.86749959,49.28621329],[-122.86732793,49.28569192],[-122.86724746,49.28506557],[-122.86718309,49.2844987],[-122.86710799,49.28392482],[-122.86704898,49.28341742],[-122.867167,49.28324246],[-122.86799848,49.28137379],[-122.86892653,49.28050941],[-122.86763906,49.27959603],[-122.86885679,49.27922508],[-122.86914647,49.2790536],[-122.86930203,49.27892761],[-122.86941469,49.27876663],[-122.86932886,49.2766178],[-122.86929131,49.27616283],[-122.86940396,49.27578835],[-122.86828279,49.27573585],[-122.868433,49.2705523],[-122.87855566,49.2706328],[-122.87934422,49.27002726],[-122.88022399,49.2705103],[-122.88037419,49.2706468],[-122.88043857,49.27081831],[-122.88048148,49.27151485],[-122.88058877,49.27325439],[-122.88070142,49.27509887],[-122.88078189,49.27637982],[-122.89365113,49.27630982]]]]}}","45","College Park","1177600"
