"the_geom","cartodb_id","name","benchmark_price"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""56"",""name"":""Ioco"",""benchmark_price"":""0""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.91053295,49.29174332],[-122.9104954,49.29271945],[-122.91047528,49.29326348],[-122.91044578,49.29399994],[-122.91042566,49.29452734],[-122.91041896,49.29468652],[-122.9103975,49.29529001],[-122.9103747,49.29584976],[-122.91035458,49.29638327],[-122.91033447,49.29688791],[-122.91031301,49.29741878],[-122.91029423,49.29796364],[-122.91027009,49.29856709],[-122.9102473,49.29915129],[-122.91022316,49.29980982],[-122.91019097,49.30062838],[-122.90908724,49.30098868],[-122.90783465,49.3013997],[-122.90424317,49.30257415],[-122.90142015,49.3034976],[-122.90140405,49.30674877],[-122.89582372,49.30682572],[-122.89357066,49.30845472],[-122.89316297,49.30894524],[-122.89277673,49.30940516],[-122.89269224,49.30950659],[-122.89171726,49.30950047],[-122.88688123,49.30947424],[-122.88199827,49.30944888],[-122.8738296,49.30940429],[-122.87384033,49.30598015],[-122.87345544,49.30597928],[-122.87349835,49.30486787],[-122.87347153,49.30452159],[-122.8734675,49.30445426],[-122.8734675,49.30406425],[-122.87346885,49.30363751],[-122.8734675,49.30351071],[-122.87346885,49.30314693],[-122.87347019,49.302394],[-122.87347555,49.30032754],[-122.87348628,49.29527602],[-122.87428826,49.29526815],[-122.87527934,49.29525328],[-122.8932783,49.29504512],[-122.90413857,49.29176956],[-122.91053295,49.29174332]]]]}}","56","Ioco","0"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""55"",""name"":""Westwood Summit"",""benchmark_price"":""0""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.82332495,49.29466378],[-122.8233169,49.29601069],[-122.82330483,49.29707245],[-122.82319486,49.2970672],[-122.82310635,49.29707507],[-122.8228341,49.29706283],[-122.82264769,49.29706895],[-122.82237813,49.2970532],[-122.82194763,49.29698324],[-122.82164991,49.29690715],[-122.82081842,49.29665089],[-122.82029673,49.29646286],[-122.81974822,49.29626607],[-122.81948671,49.29617249],[-122.8191568,49.29606491],[-122.81843528,49.29582702],[-122.81808794,49.29571245],[-122.81810403,49.2957142],[-122.81761184,49.29555327],[-122.81699225,49.29534424],[-122.81665429,49.29522966],[-122.81618223,49.29510372],[-122.81597838,49.29504862],[-122.8154178,49.29488331],[-122.81525418,49.29483521],[-122.81516165,49.29481684],[-122.81517237,49.2944425],[-122.81520054,49.29364133],[-122.81578258,49.2936527],[-122.81685412,49.2936562],[-122.81764001,49.29365795],[-122.818387,49.29366058],[-122.81901464,49.29366145],[-122.82024711,49.29366495],[-122.82106653,49.29366757],[-122.82104239,49.29464279],[-122.82332495,49.29466378]]]]}}","55","Westwood Summit","0"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""54"",""name"":""North Coquitlam"",""benchmark_price"":""0""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.80166879,49.27725476],[-122.80169025,49.27753999],[-122.80168757,49.27789871],[-122.80168489,49.27843678],[-122.80167952,49.27911396],[-122.8016822,49.27983225],[-122.8016822,49.28092585],[-122.80167818,49.2818812],[-122.8016755,49.28232475],[-122.80167416,49.2824691],[-122.80167282,49.28270881],[-122.80167282,49.28300275],[-122.80166879,49.28326345],[-122.80166611,49.28356614],[-122.80166075,49.28397293],[-122.80165806,49.28442959],[-122.80165806,49.28447595],[-122.80163392,49.28481013],[-122.8016232,49.28497196],[-122.8016071,49.28517229],[-122.80099824,49.28519504],[-122.80074477,49.28520641],[-122.80032098,49.28521778],[-122.79963702,49.28523528],[-122.79937416,49.28524228],[-122.79920653,49.28524665],[-122.7988337,49.28525627],[-122.79821545,49.28524315],[-122.7980867,49.2852414],[-122.79731423,49.28518454],[-122.79659942,49.28513293],[-122.79593289,49.28508481],[-122.79538035,49.28504545],[-122.79485598,49.28501221],[-122.79456094,49.28499471],[-122.79382735,49.28494222],[-122.79289395,49.28488361],[-122.79242992,49.28485037],[-122.79199675,49.28563156],[-122.79165745,49.28624303],[-122.79155552,49.28642586],[-122.79132754,49.28683525],[-122.79108748,49.28726651],[-122.79086351,49.28766802],[-122.79018357,49.28889091],[-122.79009506,49.28907285],[-122.79000521,49.28926092],[-122.78997302,49.28932477],[-122.78993413,49.28943674],[-122.78984562,49.28968341],[-122.78981879,49.28990383],[-122.78981477,49.29029045],[-122.78981075,49.29070681],[-122.78980538,49.29110655],[-122.78890952,49.29147042],[-122.78817058,49.29177131],[-122.78738469,49.29209056],[-122.78662831,49.29239495],[-122.78578073,49.29274132],[-122.785483,49.29286114],[-122.78458446,49.29284802],[-122.78375566,49.2928524],[-122.78261572,49.29284977],[-122.78157637,49.29284802],[-122.78112575,49.2928419],[-122.78115928,49.2927798],[-122.78271496,49.28954782],[-122.7831763,49.28861012],[-122.78365374,49.28772838],[-122.78433502,49.28643023],[-122.78488755,49.2853455],[-122.78550446,49.28406479],[-122.7861321,49.28275955],[-122.78679729,49.28140878],[-122.78721571,49.28056891],[-122.78765023,49.27972202],[-122.7882725,49.27849015],[-122.79047728,49.27848053],[-122.79048935,49.27802645],[-122.79048935,49.27798795],[-122.79048666,49.27757499],[-122.79048532,49.27724426],[-122.79048264,49.27689866],[-122.79048398,49.27657843],[-122.79048666,49.27628707],[-122.79048532,49.27594759],[-122.79048935,49.27553461],[-122.790488,49.27537011],[-122.7905041,49.27483463],[-122.79051483,49.27443126],[-122.79052287,49.27397977],[-122.7905336,49.27351077],[-122.79138386,49.27388439],[-122.79454887,49.27521437],[-122.79549837,49.27560985],[-122.79621586,49.27587322],[-122.79722303,49.27624158],[-122.79730082,49.27627045],[-122.79797271,49.27645069],[-122.79880151,49.27666068],[-122.79930443,49.27678229],[-122.7995351,49.27683916],[-122.80112162,49.27714452],[-122.80166879,49.27725476]]]]}}","54","North Coquitlam","0"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""35"",""name"":""Summit View"",""benchmark_price"":""0""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.82117248,49.28986622],[-122.82106519,49.29366582],[-122.81578124,49.29365183],[-122.81584561,49.29111879],[-122.81606019,49.29084939],[-122.8167522,49.29078641],[-122.81722426,49.29078991],[-122.81789482,49.29076892],[-122.81859756,49.29064646],[-122.81932175,49.29049251],[-122.8196758,49.29035956],[-122.81989038,49.29025459],[-122.82026589,49.29011464],[-122.82081842,49.29002367],[-122.82117248,49.28986622]]]]}}","35","Summit View","0"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""47"",""name"":""Mountain Meadows"",""benchmark_price"":""0""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.82662272,49.29130073],[-122.82641351,49.29182554],[-122.82635987,49.29222439],[-122.82602727,49.29256376],[-122.8256464,49.2927282],[-122.82527626,49.29291362],[-122.82502413,49.29338594],[-122.82493293,49.29370081],[-122.82468081,49.29409615],[-122.8242141,49.29503375],[-122.82392442,49.2958139],[-122.82390833,49.29633866],[-122.82373667,49.29683893],[-122.82362938,49.29706632],[-122.82330751,49.29707332],[-122.82332361,49.29466291],[-122.82104373,49.29464192],[-122.82106519,49.29366932],[-122.82117248,49.28987322],[-122.82114565,49.28806428],[-122.82418191,49.28841768],[-122.82439649,49.28925042],[-122.82486856,49.29060097],[-122.82662272,49.29130073]]]]}}","47","Mountain Meadows","0"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""15"",""name"":""Park Ridge Estates"",""benchmark_price"":""0""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.761783,49.29294161],[-122.76178837,49.29316902],[-122.76160598,49.29584189],[-122.76161671,49.29598882],[-122.76198149,49.29619173],[-122.76231408,49.29637365],[-122.76280761,49.29645761],[-122.76389122,49.29703834],[-122.76419163,49.2973252],[-122.76484609,49.29797588],[-122.76506066,49.29843765],[-122.76509285,49.29905334],[-122.764889,49.29956407],[-122.76465297,49.29977396],[-122.76350498,49.30065549],[-122.76163816,49.30214215],[-122.76041508,49.30321602],[-122.76012003,49.30359029],[-122.76915908,49.30351683],[-122.76905179,49.30330696],[-122.76906252,49.30313906],[-122.76937366,49.3023905],[-122.76937366,49.30192877],[-122.7692771,49.30146703],[-122.76914835,49.30109624],[-122.7689445,49.30071146],[-122.7687192,49.30034066],[-122.76856899,49.29946612],[-122.76865482,49.29903935],[-122.76889086,49.29863355],[-122.76912689,49.29811581],[-122.7693522,49.29759807],[-122.76985645,49.29656256],[-122.76968479,49.2964786],[-122.76363373,49.293225],[-122.76336551,49.29306406],[-122.76317239,49.2929696],[-122.76268959,49.29293811],[-122.761783,49.29294161]]]]}}","15","Park Ridge Estates","0"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""53"",""name"":""Belcarra"",""benchmark_price"":""0""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.86620677,49.35968171],[-122.88602829,49.36124695],[-122.89117813,49.3566629],[-122.92838573,49.33446334],[-122.9461956,49.29412064],[-122.93392181,49.29398069],[-122.92615414,49.29414862],[-122.91745305,49.29177655],[-122.91053295,49.29174157],[-122.91018963,49.3006275],[-122.90141881,49.30349585],[-122.90140271,49.30674877],[-122.89582372,49.30682572],[-122.89357066,49.30845559],[-122.8926909,49.30950484],[-122.87383497,49.30940341],[-122.87384033,49.31322249],[-122.87811041,49.31327495],[-122.87802458,49.31571243],[-122.86736548,49.31544665],[-122.86736548,49.3228668],[-122.86248386,49.32282484],[-122.86248922,49.32387378],[-122.85874486,49.32390175],[-122.85876095,49.3250136],[-122.85428166,49.3250136],[-122.8543514,49.32993273],[-122.87421584,49.33017045],[-122.87221491,49.34514498],[-122.86620677,49.35968171]]]]}}","53","Belcarra","0"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""44"",""name"":""Glenayre"",""benchmark_price"":""1633000""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.89345264,49.27027228],[-122.89364576,49.27630982],[-122.88077116,49.27637982],[-122.88043857,49.27087782],[-122.88040638,49.27075531],[-122.88036346,49.2706468],[-122.88022399,49.2705138],[-122.88012743,49.27045079],[-122.89345264,49.27027228]]]]}}","44","Glenayre","1633000"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""40"",""name"":""Chineside"",""benchmark_price"":""1694000""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.83812404,49.26334832],[-122.8376627,49.26405897],[-122.83749104,49.26863064],[-122.83631086,49.26861664],[-122.83623576,49.27313189],[-122.83148289,49.27315639],[-122.82377422,49.27322289],[-122.82310903,49.27321939],[-122.82342017,49.26420249],[-122.82471836,49.26319079],[-122.83812404,49.26334832]]]]}}","40","Chineside","1694000"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""41"",""name"":""Harbour Place"",""benchmark_price"":""1768400""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.85273135,49.26346035],[-122.85265088,49.26763653],[-122.85256505,49.2706538],[-122.84455061,49.2706258],[-122.84450769,49.27304789],[-122.83623576,49.27304439],[-122.83631086,49.26861664],[-122.83749104,49.26863064],[-122.8376627,49.26405897],[-122.8381294,49.26334832],[-122.85273135,49.26346035]]]]}}","41","Harbour Place","1768400"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""42"",""name"":""Harbour Chines"",""benchmark_price"":""2077600""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.868433,49.2705453],[-122.85257041,49.2706573],[-122.85273135,49.26346385],[-122.86873877,49.26356187],[-122.868433,49.2705453]]]]}}","42","Harbour Chines","2077600"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""48"",""name"":""Heritage Woods PM"",""benchmark_price"":""2145400""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.82330751,49.29707682],[-122.82362938,49.29706632],[-122.82503486,49.29707332],[-122.82519579,49.29705933],[-122.82530308,49.29704184],[-122.82589316,49.29693688],[-122.826671,49.29676197],[-122.82770097,49.29650309],[-122.82794774,49.29644711],[-122.82838762,49.29639814],[-122.8286773,49.29638064],[-122.82898307,49.29638414],[-122.83201933,49.29666401],[-122.83337116,49.29679345],[-122.83404171,49.29682844],[-122.83466399,49.29683193],[-122.83523798,49.29679695],[-122.83555984,49.29675847],[-122.83540428,49.30558054],[-122.83349991,49.30555955],[-122.8331995,49.31307911],[-122.82852173,49.31292523],[-122.82312512,49.31941563],[-122.82314658,49.31086183],[-122.82316804,49.30609121],[-122.82317877,49.30217363],[-122.82316804,49.30101929],[-122.82330751,49.29707682]]]]}}","48","Heritage Woods PM","2145400"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""52"",""name"":""Anmore"",""benchmark_price"":""3156100""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.82310903,49.32499612],[-122.82312512,49.31941912],[-122.82852709,49.31292523],[-122.8331995,49.31307911],[-122.83350527,49.30556305],[-122.83540964,49.30558054],[-122.83552229,49.29929122],[-122.84208298,49.29938916],[-122.84182549,49.30602825],[-122.85030127,49.30619614],[-122.85066068,49.30792047],[-122.85700142,49.30792047],[-122.85884678,49.30593031],[-122.87384033,49.30597928],[-122.8738296,49.30940341],[-122.87384033,49.31321899],[-122.87811041,49.31327495],[-122.87802458,49.31570893],[-122.86736012,49.31544665],[-122.86736012,49.3228668],[-122.86247849,49.32282484],[-122.86248386,49.32387378],[-122.8587395,49.32390175],[-122.85875559,49.32501011],[-122.85428166,49.32501011],[-122.8543514,49.32993273],[-122.87422657,49.33017045],[-122.87220955,49.34514498],[-122.8662014,49.35968171],[-122.82405853,49.35727786],[-122.82310903,49.32499612]]]]}}","52","Anmore","3156100"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""13"",""name"":""Birchland Manor"",""benchmark_price"":""1332700""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.75609136,49.264234],[-122.75477171,49.26465408],[-122.75414407,49.26470659],[-122.74989009,49.26521768],[-122.74848461,49.26539271],[-122.74664998,49.26578827],[-122.74475634,49.26625734],[-122.74403751,49.26669841],[-122.74361372,49.26695744],[-122.74309337,49.26730049],[-122.74266958,49.26758752],[-122.74134457,49.26846962],[-122.74080813,49.26899818],[-122.74026632,49.27026528],[-122.74018049,49.27042279],[-122.73978889,49.27119633],[-122.7397728,49.27122084],[-122.73975134,49.27126634],[-122.73990154,49.27126634],[-122.74345815,49.27124534],[-122.7470094,49.27124184],[-122.75005102,49.27122784],[-122.75315702,49.27121384],[-122.75601089,49.27121034],[-122.75610745,49.27120683],[-122.75609136,49.264234]]]]}}","13","Birchland Manor","1332700"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""30"",""name"":""Meadow Brook"",""benchmark_price"":""1114200""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.79730618,49.27627132],[-122.79549837,49.27560985],[-122.79348671,49.27476988],[-122.79191494,49.27411539],[-122.7904129,49.27345739],[-122.79047191,49.27092332],[-122.79053092,49.26885116],[-122.7906543,49.26515467],[-122.79067039,49.26510916],[-122.79108346,49.26498664],[-122.79122829,49.26491663],[-122.79139996,49.26482211],[-122.79281616,49.26391894],[-122.79392123,49.2632153],[-122.79399633,49.26316979],[-122.79425383,49.26309627],[-122.79460788,49.26306126],[-122.79815912,49.26309277],[-122.7984488,49.26466108],[-122.79850781,49.26495513],[-122.79864192,49.26575677],[-122.79867947,49.26619083],[-122.79873848,49.26668091],[-122.79874384,49.26720598],[-122.79873312,49.26763653],[-122.79870093,49.26851513],[-122.79867947,49.26948822],[-122.79866874,49.2705418],[-122.79865801,49.27141684],[-122.79863656,49.27260338],[-122.79864728,49.27290439],[-122.79865265,49.27345389],[-122.79866338,49.27385989],[-122.79864728,49.27395789],[-122.79856145,49.27438489],[-122.79839516,49.27481538],[-122.79818058,49.27516187],[-122.79786408,49.27563085],[-122.79730618,49.27627132]]]]}}","30","Meadow Brook","1114200"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""34"",""name"":""Upper Eagle Ridge"",""benchmark_price"":""1687900""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.82109201,49.28466316],[-122.82116711,49.28986622],[-122.82081842,49.29001667],[-122.82063067,49.29004816],[-122.82027125,49.29011464],[-122.81990647,49.29024759],[-122.81968653,49.29035956],[-122.81933248,49.29048201],[-122.81860828,49.29064296],[-122.81788945,49.29076542],[-122.81722963,49.29078991],[-122.8167522,49.29078641],[-122.81606019,49.29084939],[-122.81584561,49.29111529],[-122.81578124,49.29365183],[-122.81520188,49.29364133],[-122.81515896,49.29482034],[-122.81478882,49.29474687],[-122.81445086,49.2946699],[-122.81402707,49.29456845],[-122.8132385,49.29440752],[-122.81169891,49.29419411],[-122.81068504,49.29412763],[-122.80889332,49.29414163],[-122.80836761,49.29416262],[-122.80822814,49.29242731],[-122.80842662,49.29161211],[-122.8095746,49.28946385],[-122.81142533,49.28684662],[-122.81036854,49.28608382],[-122.80974627,49.2857584],[-122.80918837,49.28553796],[-122.80852854,49.28540149],[-122.80790627,49.28537],[-122.80751467,49.28544348],[-122.80732155,49.28542598],[-122.80666709,49.28548897],[-122.80580878,49.2849466],[-122.80605018,49.2849256],[-122.80724108,49.28476814],[-122.80798137,49.28466666],[-122.80956924,49.28441122],[-122.81041682,49.28418027],[-122.81203151,49.28361338],[-122.81279325,49.28344892],[-122.81395733,49.28332994],[-122.81489611,49.28338943],[-122.8159529,49.28357489],[-122.81847954,49.2845022],[-122.81906962,49.28468416],[-122.81978846,49.28478913],[-122.82041609,49.28478213],[-122.82109201,49.28466316]]]]}}","34","Upper Eagle Ridge","1687900"
"{""type"":""Feature"",""properties"":{""cartodb_id"":""38"",""name"":""Maillardville"",""benchmark_price"":""1773600""},""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-122.87626505,49.22646487],[-122.87617922,49.23001013],[-122.87557304,49.23022031],[-122.87542284,49.23027636],[-122.8750366,49.23059864],[-122.87506342,49.23107155],[-122.87532628,49.23131326],[-122.87617385,49.23169509],[-122.87678003,49.23249726],[-122.87712872,49.23273546],[-122.87776709,49.2330332],[-122.87887216,49.23343954],[-122.88002014,49.23361468],[-122.88021326,49.23372327],[-122.88033664,49.23387739],[-122.87915647,49.23427671],[-122.87865758,49.23444484],[-122.87725747,49.23491071],[-122.87623823,49.23525748],[-122.87312686,49.23629077],[-122.87299275,49.2395096],[-122.87294984,49.24138686],[-122.87288547,49.24347068],[-122.87282109,49.24535129],[-122.86221027,49.24533028],[-122.862221,49.24495557],[-122.85436213,49.24503611],[-122.85331607,49.24282278],[-122.85313368,49.24255311],[-122.85270452,49.2422239],[-122.85255969,49.24203829],[-122.85246849,49.24177912],[-122.85246849,49.24146391],[-122.8523773,49.2412853],[-122.85241485,49.24063387],[-122.85191059,49.24061986],[-122.85093427,49.2403887],[-122.84971118,49.23999644],[-122.84896016,49.23972675],[-122.8483969,49.23947458],[-122.84686804,49.23863049],[-122.84634233,49.23842384],[-122.84613848,49.23834328],[-122.84489393,49.23803506],[-122.84416974,49.23789146],[-122.84305394,49.23749567],[-122.84407854,49.23288608],[-122.84508169,49.23175113],[-122.84746885,49.23144637],[-122.84859002,49.23086838],[-122.86155045,49.23239918],[-122.8617382,49.22024954],[-122.8708148,49.22063145],[-122.87641525,49.22079263],[-122.87626505,49.22646487]]]]}}","38","Maillardville","1773600"
